36	4E	00	00	00	01	00	00	00	00	00	00	00	10	79	
00110110	01001110	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00010000	01111001	
36	4F	00	00	00	01	00	00	00	00	00	00	00	15	7A	
00110110	01001111	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00010101	01111010	
36	50	00	00	00	01	00	00	00	00	00	00	00	0E	67	
00110110	01010000	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00001110	01100111	
36	51	00	00	00	01	00	00	00	00	00	00	00	13	60	
00110110	01010001	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00010011	01100000	
36	52	00	00	00	01	00	00	00	00	00	00	00	0C	65	
00110110	01010010	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00001100	01100101	
36	53	00	00	00	01	00	00	00	00	00	00	00	11	66	
00110110	01010011	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00010001	01100110	
36	54	00	00	00	01	00	00	00	00	00	00	00	1A	63	
00110110	01010100	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011010	01100011	
36	55	00	00	00	01	00	00	00	00	00	00	00	1F	5C	
00110110	01010101	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011111	01011100	
36	56	00	00	00	01	00	00	00	00	00	00	00	18	61	
00110110	01010110	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011000	01100001	
36	57	00	00	00	01	00	00	00	00	00	00	00	1D	62	
00110110	01010111	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011101	01100010	
36	58	00	00	00	01	00	00	00	00	00	00	00	16	6F	
00110110	01011000	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00010110	01101111	
36	59	00	00	00	01	00	00	00	00	00	00	00	1B	68	
00110110	01011001	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011011	01101000	
36	5A	00	00	00	01	00	00	00	00	00	00	00	14	6D	
00110110	01011010	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00010100	01101101	
36	5B	00	00	00	01	00	00	00	00	00	00	00	19	6E	
00110110	01011011	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011001	01101110	
36	5C	00	00	00	01	00	00	00	00	00	00	00	42	6B	
00110110	01011100	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01000010	01101011	
36	5D	00	00	00	01	00	00	00	00	00	00	00	47	64	
00110110	01011101	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01000111	01100100	
36	5E	00	00	00	01	00	00	00	00	00	00	00	40	69	
00110110	01011110	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01000000	01101001	
36	5F	00	00	00	01	00	00	00	00	00	00	00	45	6A	
00110110	01011111	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01000101	01101010	
36	60	00	00	00	01	00	00	00	00	00	00	00	7E	57	
00110110	01100000	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01111110	01010111	
36	61	00	00	00	01	00	00	00	00	00	00	00	43	50	
00110110	01100001	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01000011	01010000	
36	62	00	00	00	01	00	00	00	00	00	00	00	7C	55	
00110110	01100010	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01111100	01010101	
36	63	00	00	00	01	00	00	00	00	00	00	00	41	56	
00110110	01100011	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01000001	01010110	
36	64	00	00	00	01	00	00	00	00	00	00	00	4A	53	
00110110	01100100	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01001010	01010011	
36	65	00	00	00	01	00	00	00	00	00	00	00	4F	4C	
00110110	01100101	00000000	00000000	00000000	00000001	00000000	00000000	00000000	00000000	00000000	00000000	00000000	01001111	01001100	
36	66	00	00	00	01	00	00	00	00	00	00	00	48	51	
