36	11	00	53	53	54	00	53	53	53	53	53	53	53	20	
00110110	00010001	00000000	01010011	01010011	01010100	00000000	01010011	01010011	01010011	01010011	01010011	01010011	01010011	00100000	
36	12	00	4C	4C	4D	00	4C	4C	4C	4C	4C	4C	4C	25	
00110110	00010010	00000000	01001100	01001100	01001101	00000000	01001100	01001100	01001100	01001100	01001100	01001100	01001100	00100101	
36	13	00	51	51	52	00	51	51	51	51	51	51	51	26	
00110110	00010011	00000000	01010001	01010001	01010010	00000000	01010001	01010001	01010001	01010001	01010001	01010001	01010001	00100110	
36	14	00	5A	5A	5B	00	5A	5A	5A	5A	5A	5A	5A	23	
00110110	00010100	00000000	01011010	01011010	01011011	00000000	01011010	01011010	01011010	01011010	01011010	01011010	01011010	00100011	
36	15	00	5F	5F	60	00	5F	5F	5F	5F	5F	5F	5F	1C	
00110110	00010101	00000000	01011111	01011111	01100000	00000000	01011111	01011111	01011111	01011111	01011111	01011111	01011111	00011100	
36	16	00	58	58	59	00	58	58	58	58	58	58	58	21	
00110110	00010110	00000000	01011000	01011000	01011001	00000000	01011000	01011000	01011000	01011000	01011000	01011000	01011000	00100001	
36	17	00	5D	5D	5E	00	5D	5D	5D	5D	5D	5D	5D	22	
00110110	00010111	00000000	01011101	01011101	01011110	00000000	01011101	01011101	01011101	01011101	01011101	01011101	01011101	00100010	
36	18	00	56	56	57	00	56	56	56	56	56	56	56	2F	
00110110	00011000	00000000	01010110	01010110	01010111	00000000	01010110	01010110	01010110	01010110	01010110	01010110	01010110	00101111	
36	19	00	5B	5B	5C	00	5B	5B	5B	5B	5B	5B	5B	28	
00110110	00011001	00000000	01011011	01011011	01011100	00000000	01011011	01011011	01011011	01011011	01011011	01011011	01011011	00101000	
36	1A	00	54	54	55	00	54	54	54	54	54	54	54	2D	
00110110	00011010	00000000	01010100	01010100	01010101	00000000	01010100	01010100	01010100	01010100	01010100	01010100	01010100	00101101	
36	1B	00	59	59	5A	00	59	5B	59	59	59	59	59	2C	
00110110	00011011	00000000	01011001	01011001	01011010	00000000	01011001	01011011	01011001	01011001	01011001	01011001	01011001	00101100	
36	1C	00	02	02	03	00	02	26	02	02	02	02	02	0F	
00110110	00011100	00000000	00000010	00000010	00000011	00000000	00000010	00100110	00000010	00000010	00000010	00000010	00000010	00001111	
36	1D	00	07	07	08	00	07	32	07	07	07	07	07	11	
00110110	00011101	00000000	00000111	00000111	00001000	00000000	00000111	00110010	00000111	00000111	00000111	00000111	00000111	00010001	
36	1E	00	00	00	01	00	00	36	00	00	00	00	00	1F	
00110110	00011110	00000000	00000000	00000000	00000001	00000000	00000000	00110110	00000000	00000000	00000000	00000000	00000000	00011111	
36	1F	00	05	05	06	00	05	34	05	05	05	05	05	1B	
00110110	00011111	00000000	00000101	00000101	00000110	00000000	00000101	00110100	00000101	00000101	00000101	00000101	00000101	00011011	
36	20	00	3E	3E	3F	00	3E	69	3E	3E	3E	3E	3E	40	
00110110	00100000	00000000	00111110	00111110	00111111	00000000	00111110	01101001	00111110	00111110	00111110	00111110	00111110	01000000	
36	21	00	03	03	04	00	03	3A	03	03	03	03	03	29	
00110110	00100001	00000000	00000011	00000011	00000100	00000000	00000011	00111010	00000011	00000011	00000011	00000011	00000011	00101001	
36	22	00	3C	3C	3D	00	3C	72	3C	3C	3C	3C	3C	5B	
00110110	00100010	00000000	00111100	00111100	00111101	00000000	00111100	01110010	00111100	00111100	00111100	00111100	00111100	01011011	
36	23	00	01	01	02	00	01	2E	01	01	01	01	01	39	
00110110	00100011	00000000	00000001	00000001	00000010	00000000	00000001	00101110	00000001	00000001	00000001	00000001	00000001	00111001	
36	24	00	0A	0A	0B	00	0A	38	0A	0A	0A	0A	0A	21	
